"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7146426995241","19.1893086137101","12.2071589258764","14.6464623827536","17.2483336211491","-1.65295419561845","13.1042321741943","2.91736369330301","15.3451061443337","11.1749134270633","4.6486187535847","-1.2401477582126","5.75084758833322","7.19848091016158","11.4583486834574","15.2662404148673","15.1736987099138","13.5761666622895","11.042863894057","11.1544394388212","3.68897682280481","8.94316627023043","14.9149655490383","19.5880829170394","","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2613365052726","15.8707702588285","16.3068709901862","19.3195659680303","18.5071396436242","","","","","","","","20.6554816956725","20.8333238785577","22.8021010790609","23.2905733050086","23.9402163916317","23.8782891704768","22.735543723156","19.5841918240254","21.036290949452","21.5270804239788","19.0960337330564","18.3306628355522","18.0230260189225","16.8275438557748","18.712090300486","18.6258336150905","18.5673919811998","19.188163368723","18.3370164286007","20.0653727111315","19.4599074057963","18.2359620928654","17.812253409373","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.73776944122657","","","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9406695585493","26.2542070774543","35.2122967921331","40.446462396581","42.3539269814888","41.3596316967915","38.3301799587484","32.8440998581197","37.6329507991296","37.7615804060323","37.5969892167239","32.243007593142","26.4996037442516","21.127009586209","27.0831780462737","28.5100354468578","30.6179715346146","30.0609240521614","20.9424260889591","25.6904205809732","22.3715666135855","15.9501051986419","15.7266926308562","",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.811226308299","28.4100004362066","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10984322108368","18.7617500789414","19.237036882253","8.84158523055561","20.4347153831372","19.5421402867081","29.2778299642183","32.3691913409345","29.1883840672743","29.3339744738154","31.6642389460702","31.7887846329463","30.8947035825786","25.5767185487008","18.1050327744252","17.4431453893402","21.2891917139475","21.0084990062422","19.4558040818982","19.8247185146139","17.5466913828721","19.2804482447531","19.3200538383653","20.3725710158265","20.5068451138006","17.4524503207246","17.6598381776735","21.0248987934283","20.9336606456768","22.1646556089353","22.501611798468","",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.599671439589","42.9855410258363","42.4319000701973","45.0115272556071","31.8894829754538","37.2156626095553","41.0381281406476","39.7873593766843","37.4179519607878","33.3466679107435","24.1014437643139","23.3125908079453","27.1763686684431","30.2968668526601","28.8474375248195","21.7267975776361","29.6972734290906","35.9260464330987","30.9801082580873","","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8347069654515","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067304709","32.5077111131019","30.1386934415596","25.2160967346455","22.9884302060225","19.8802568653612","18.3585987862388","18.5376271806435","17.6214446244036","","14.7833916560665","15.1977497346311","","13.630182377837","16.0433752309533","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154141372","13.6907954449568","15.0121353189386","19.4128951075758","16.8387415322884","16.2338768059338","16.697116558858","",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43941055101329","2.56882977833474","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307648991","2.83405555049927","-0.927016879663417","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073179174958","28.5448330329336","28.6006926293811","27.9049203479905","14.0475566558617","13.200763048602","11.095722762862","14.0967327906916","14.836719782724","13.2812572210453","18.4537774287326","17.8749653628263","17.1784579074194","15.553575766877","10.3722524565845","15.6465054606072","19.6920152892063","22.7680766928283","20.1890586187891","19.2356859370729","",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6599319326909","24.4154383916175","20.8078722173929","18.3164839064147","20.3034156711219","21.8463364095375","20.6053570826636","20.8678175180598","21.7802042626413","21.5910821015266","20.5938348860108","21.1585828443316","20.707708507732","21.7443643675091","21.0479265435955","21.4867186852419","20.9463328004775","21.6197924820935","21.3208215222712","21.845024795339","23.9195578923009","21.7091351421171","23.1621677041742","24.200411352821","23.7827985137743","23.4563274824008","22.521231196962","20.529640955705","21.5782074482669","21.4012664353392","21.9808894845608","23.2325990455773","25.1958520075371","24.9259369836481","23.7753856393832","22.9216103635704","",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2027327311514","26.8986570432199","28.3529254330842","28.8079332137102","25.1006778097902","25.9019377063544","26.2928147431321","25.9001846964115","25.5917612890381","26.2094723176004","25.6755417948535","27.1433439783754","26.3960360513964","26.8813622258114","28.1223106975115","29.2121199273019","29.471826371692","28.0222537943887","27.7139027575862","25.4397148337891","",
