feature,overall_variance,within_cluster_variance,within_over_overall_ratio
total_tokens,29477189721.18591,14535240587.964067,0.4931013005462074
total_steps,32.961683127472156,16.543089649652966,0.5018884984021039
total_latency_ms,11962258601.168676,7013989584.267352,0.5863432498928008
