metric_name,matrix_type,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p_one_sided,observed_spearman_rho
toolcount_cosine,similarity,0.303783655166626,0.0,0.280638130741717,0.0,0.004975124378109453,0.280638130741717
sequence_levenshtein,similarity,0.3034033477306366,0.0,0.27120703262273843,0.0,0.004975124378109453,0.27120703262273843
toolset_jaccard,similarity,0.2831757370633744,0.0,0.2689372379071185,0.0,0.004975124378109453,0.2689372379071185
toolset_binary_cosine,similarity,0.26853933930397034,0.0,0.2678207091976247,0.0,0.004975124378109453,0.2678207091976247
sequence_transition_cosine,similarity,0.29261985421180725,0.0,0.2584077010289727,4.79590183848096e-310,0.004975124378109453,0.2584077010289727
toolcount_manhattan,distance,0.15677213396220074,5.894045190443055e-113,0.16291394729504755,6.077805204273643e-122,0.004975124378109453,0.16291394729504755
